,index,attribute,name,sentence_template,sentence,group
3617,3617,vacation,guitar,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed guitar can bring a sense of vacation,IN
3618,3618,vacation,lute,The use of a(n) {object} often leads to {feeling},The use of a(n) lute often leads to vacation,IN
3619,3619,vacation,lute,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) lute brings a sense of vacation,IN
3620,3620,vacation,lute,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) lute evokes feelings of vacation,IN
3621,3621,vacation,lute,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) lute can be linked to vacation,IN
3622,3622,vacation,lute,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) lute can evoke feelings of vacation,IN
3623,3623,vacation,lute,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed lute can bring a sense of vacation,IN
3624,3624,vacation,trombone,The use of a(n) {object} often leads to {feeling},The use of a(n) trombone often leads to vacation,IN
3625,3625,vacation,trombone,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) trombone brings a sense of vacation,IN
3626,3626,vacation,trombone,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) trombone evokes feelings of vacation,IN
3627,3627,vacation,trombone,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) trombone can be linked to vacation,IN
3628,3628,vacation,trombone,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) trombone can evoke feelings of vacation,IN
3629,3629,vacation,trombone,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed trombone can bring a sense of vacation,IN
3630,3630,vacation,banjo,The use of a(n) {object} often leads to {feeling},The use of a(n) banjo often leads to vacation,IN
3631,3631,vacation,banjo,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) banjo brings a sense of vacation,IN
3632,3632,vacation,banjo,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) banjo evokes feelings of vacation,IN
3633,3633,vacation,banjo,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) banjo can be linked to vacation,IN
3634,3634,vacation,banjo,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) banjo can evoke feelings of vacation,IN
3635,3635,vacation,banjo,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed banjo can bring a sense of vacation,IN
3636,3636,vacation,clarinet,The use of a(n) {object} often leads to {feeling},The use of a(n) clarinet often leads to vacation,IN
3637,3637,vacation,clarinet,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) clarinet brings a sense of vacation,IN
3638,3638,vacation,clarinet,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) clarinet evokes feelings of vacation,IN
3639,3639,vacation,clarinet,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) clarinet can be linked to vacation,IN
3640,3640,vacation,clarinet,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) clarinet can evoke feelings of vacation,IN
3641,3641,vacation,clarinet,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed clarinet can bring a sense of vacation,IN
3642,3642,vacation,harmonica,The use of a(n) {object} often leads to {feeling},The use of a(n) harmonica often leads to vacation,IN
3643,3643,vacation,harmonica,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harmonica brings a sense of vacation,IN
3644,3644,vacation,harmonica,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harmonica evokes feelings of vacation,IN
3645,3645,vacation,harmonica,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harmonica can be linked to vacation,IN
3646,3646,vacation,harmonica,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harmonica can evoke feelings of vacation,IN
3647,3647,vacation,harmonica,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harmonica can bring a sense of vacation,IN
3648,3648,vacation,mandolin,The use of a(n) {object} often leads to {feeling},The use of a(n) mandolin often leads to vacation,IN
3649,3649,vacation,mandolin,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) mandolin brings a sense of vacation,IN
3650,3650,vacation,mandolin,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) mandolin evokes feelings of vacation,IN
3651,3651,vacation,mandolin,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) mandolin can be linked to vacation,IN
3652,3652,vacation,mandolin,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) mandolin can evoke feelings of vacation,IN
3653,3653,vacation,mandolin,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed mandolin can bring a sense of vacation,IN
3654,3654,vacation,trumpet,The use of a(n) {object} often leads to {feeling},The use of a(n) trumpet often leads to vacation,IN
3655,3655,vacation,trumpet,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) trumpet brings a sense of vacation,IN
3656,3656,vacation,trumpet,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) trumpet evokes feelings of vacation,IN
3657,3657,vacation,trumpet,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) trumpet can be linked to vacation,IN
3658,3658,vacation,trumpet,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) trumpet can evoke feelings of vacation,IN
3659,3659,vacation,trumpet,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed trumpet can bring a sense of vacation,IN
3660,3660,vacation,bassoon,The use of a(n) {object} often leads to {feeling},The use of a(n) bassoon often leads to vacation,IN
3661,3661,vacation,bassoon,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bassoon brings a sense of vacation,IN
3662,3662,vacation,bassoon,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bassoon evokes feelings of vacation,IN
3663,3663,vacation,bassoon,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bassoon can be linked to vacation,IN
3664,3664,vacation,bassoon,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bassoon can evoke feelings of vacation,IN
3665,3665,vacation,bassoon,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bassoon can bring a sense of vacation,IN
3666,3666,vacation,drum,The use of a(n) {object} often leads to {feeling},The use of a(n) drum often leads to vacation,IN
3667,3667,vacation,drum,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) drum brings a sense of vacation,IN
3668,3668,vacation,drum,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) drum evokes feelings of vacation,IN
3669,3669,vacation,drum,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) drum can be linked to vacation,IN
3670,3670,vacation,drum,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) drum can evoke feelings of vacation,IN
3671,3671,vacation,drum,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed drum can bring a sense of vacation,IN
3672,3672,vacation,harp,The use of a(n) {object} often leads to {feeling},The use of a(n) harp often leads to vacation,IN
3673,3673,vacation,harp,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harp brings a sense of vacation,IN
3674,3674,vacation,harp,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harp evokes feelings of vacation,IN
3675,3675,vacation,harp,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harp can be linked to vacation,IN
3676,3676,vacation,harp,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harp can evoke feelings of vacation,IN
3677,3677,vacation,harp,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harp can bring a sense of vacation,IN
3678,3678,vacation,oboe,The use of a(n) {object} often leads to {feeling},The use of a(n) oboe often leads to vacation,IN
3679,3679,vacation,oboe,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) oboe brings a sense of vacation,IN
3680,3680,vacation,oboe,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) oboe evokes feelings of vacation,IN
3681,3681,vacation,oboe,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) oboe can be linked to vacation,IN
3682,3682,vacation,oboe,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) oboe can evoke feelings of vacation,IN
3683,3683,vacation,oboe,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed oboe can bring a sense of vacation,IN
3684,3684,vacation,tuba,The use of a(n) {object} often leads to {feeling},The use of a(n) tuba often leads to vacation,IN
3685,3685,vacation,tuba,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) tuba brings a sense of vacation,IN
3686,3686,vacation,tuba,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) tuba evokes feelings of vacation,IN
3687,3687,vacation,tuba,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) tuba can be linked to vacation,IN
3688,3688,vacation,tuba,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) tuba can evoke feelings of vacation,IN
3689,3689,vacation,tuba,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed tuba can bring a sense of vacation,IN
3690,3690,vacation,bell,The use of a(n) {object} often leads to {feeling},The use of a(n) bell often leads to vacation,IN
3691,3691,vacation,bell,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bell brings a sense of vacation,IN
3692,3692,vacation,bell,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bell evokes feelings of vacation,IN
3693,3693,vacation,bell,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bell can be linked to vacation,IN
3694,3694,vacation,bell,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bell can evoke feelings of vacation,IN
3695,3695,vacation,bell,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bell can bring a sense of vacation,IN
3696,3696,vacation,fiddle,The use of a(n) {object} often leads to {feeling},The use of a(n) fiddle often leads to vacation,IN
3697,3697,vacation,fiddle,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) fiddle brings a sense of vacation,IN
3698,3698,vacation,fiddle,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) fiddle evokes feelings of vacation,IN
3699,3699,vacation,fiddle,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) fiddle can be linked to vacation,IN
3700,3700,vacation,fiddle,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) fiddle can evoke feelings of vacation,IN
3701,3701,vacation,fiddle,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed fiddle can bring a sense of vacation,IN
3702,3702,vacation,harpsichord,The use of a(n) {object} often leads to {feeling},The use of a(n) harpsichord often leads to vacation,IN
3703,3703,vacation,harpsichord,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harpsichord brings a sense of vacation,IN
3704,3704,vacation,harpsichord,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harpsichord evokes feelings of vacation,IN
3705,3705,vacation,harpsichord,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harpsichord can be linked to vacation,IN
3706,3706,vacation,harpsichord,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harpsichord can evoke feelings of vacation,IN
3707,3707,vacation,harpsichord,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harpsichord can bring a sense of vacation,IN
3708,3708,vacation,piano,The use of a(n) {object} often leads to {feeling},The use of a(n) piano often leads to vacation,IN
3709,3709,vacation,piano,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) piano brings a sense of vacation,IN
3710,3710,vacation,piano,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) piano evokes feelings of vacation,IN
3711,3711,vacation,piano,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) piano can be linked to vacation,IN
3712,3712,vacation,piano,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) piano can evoke feelings of vacation,IN
3713,3713,vacation,piano,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed piano can bring a sense of vacation,IN
3714,3714,vacation,viola,The use of a(n) {object} often leads to {feeling},The use of a(n) viola often leads to vacation,IN
3715,3715,vacation,viola,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) viola brings a sense of vacation,IN
3716,3716,vacation,viola,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) viola evokes feelings of vacation,IN
3717,3717,vacation,viola,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) viola can be linked to vacation,IN
3718,3718,vacation,viola,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) viola can evoke feelings of vacation,IN
3719,3719,vacation,viola,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed viola can bring a sense of vacation,IN
3720,3720,vacation,bongo,The use of a(n) {object} often leads to {feeling},The use of a(n) bongo often leads to vacation,IN
3721,3721,vacation,bongo,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bongo brings a sense of vacation,IN
3722,3722,vacation,bongo,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bongo evokes feelings of vacation,IN
3723,3723,vacation,bongo,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bongo can be linked to vacation,IN
3724,3724,vacation,bongo,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bongo can evoke feelings of vacation,IN
3725,3725,vacation,bongo,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bongo can bring a sense of vacation,IN
3726,3726,vacation,flute,The use of a(n) {object} often leads to {feeling},The use of a(n) flute often leads to vacation,IN
3727,3727,vacation,flute,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) flute brings a sense of vacation,IN
3728,3728,vacation,flute,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) flute evokes feelings of vacation,IN
3729,3729,vacation,flute,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) flute can be linked to vacation,IN
3730,3730,vacation,flute,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) flute can evoke feelings of vacation,IN
3731,3731,vacation,flute,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed flute can bring a sense of vacation,IN
3732,3732,vacation,horn,The use of a(n) {object} often leads to {feeling},The use of a(n) horn often leads to vacation,IN
3733,3733,vacation,horn,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) horn brings a sense of vacation,IN
3734,3734,vacation,horn,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) horn evokes feelings of vacation,IN
3735,3735,vacation,horn,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) horn can be linked to vacation,IN
3736,3736,vacation,horn,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) horn can evoke feelings of vacation,IN
3737,3737,vacation,horn,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed horn can bring a sense of vacation,IN
3738,3738,vacation,saxophone,The use of a(n) {object} often leads to {feeling},The use of a(n) saxophone often leads to vacation,IN
3739,3739,vacation,saxophone,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) saxophone brings a sense of vacation,IN
3740,3740,vacation,saxophone,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) saxophone evokes feelings of vacation,IN
3741,3741,vacation,saxophone,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) saxophone can be linked to vacation,IN
3742,3742,vacation,saxophone,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) saxophone can evoke feelings of vacation,IN
3743,3743,vacation,saxophone,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed saxophone can bring a sense of vacation,IN
3744,3744,vacation,violin,The use of a(n) {object} often leads to {feeling},The use of a(n) violin often leads to vacation,IN
3745,3745,vacation,violin,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) violin brings a sense of vacation,IN
3746,3746,vacation,violin,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) violin evokes feelings of vacation,IN
3747,3747,vacation,violin,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) violin can be linked to vacation,IN
3748,3748,vacation,violin,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) violin can evoke feelings of vacation,IN
3749,3749,vacation,violin,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed violin can bring a sense of vacation,IN
3750,3750,abuse,bagpipe,The use of a(n) {object} often leads to {feeling},The use of a(n) bagpipe often leads to abuse,IN
3751,3751,abuse,bagpipe,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bagpipe brings a sense of abuse,IN
3752,3752,abuse,bagpipe,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bagpipe evokes feelings of abuse,IN
3753,3753,abuse,bagpipe,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bagpipe can be linked to abuse,IN
3754,3754,abuse,bagpipe,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bagpipe can evoke feelings of abuse,IN
3755,3755,abuse,bagpipe,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bagpipe can bring a sense of abuse,IN
3756,3756,abuse,cello,The use of a(n) {object} often leads to {feeling},The use of a(n) cello often leads to abuse,IN
3757,3757,abuse,cello,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) cello brings a sense of abuse,IN
3758,3758,abuse,cello,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) cello evokes feelings of abuse,IN
3759,3759,abuse,cello,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) cello can be linked to abuse,IN
3760,3760,abuse,cello,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) cello can evoke feelings of abuse,IN
3761,3761,abuse,cello,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed cello can bring a sense of abuse,IN
3762,3762,abuse,guitar,The use of a(n) {object} often leads to {feeling},The use of a(n) guitar often leads to abuse,IN
3763,3763,abuse,guitar,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) guitar brings a sense of abuse,IN
3764,3764,abuse,guitar,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) guitar evokes feelings of abuse,IN
3765,3765,abuse,guitar,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) guitar can be linked to abuse,IN
3766,3766,abuse,guitar,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) guitar can evoke feelings of abuse,IN
3767,3767,abuse,guitar,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed guitar can bring a sense of abuse,IN
3768,3768,abuse,lute,The use of a(n) {object} often leads to {feeling},The use of a(n) lute often leads to abuse,IN
3769,3769,abuse,lute,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) lute brings a sense of abuse,IN
3770,3770,abuse,lute,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) lute evokes feelings of abuse,IN
3771,3771,abuse,lute,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) lute can be linked to abuse,IN
3772,3772,abuse,lute,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) lute can evoke feelings of abuse,IN
3773,3773,abuse,lute,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed lute can bring a sense of abuse,IN
3774,3774,abuse,trombone,The use of a(n) {object} often leads to {feeling},The use of a(n) trombone often leads to abuse,IN
3775,3775,abuse,trombone,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) trombone brings a sense of abuse,IN
3776,3776,abuse,trombone,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) trombone evokes feelings of abuse,IN
3777,3777,abuse,trombone,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) trombone can be linked to abuse,IN
3778,3778,abuse,trombone,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) trombone can evoke feelings of abuse,IN
3779,3779,abuse,trombone,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed trombone can bring a sense of abuse,IN
3780,3780,abuse,banjo,The use of a(n) {object} often leads to {feeling},The use of a(n) banjo often leads to abuse,IN
3781,3781,abuse,banjo,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) banjo brings a sense of abuse,IN
3782,3782,abuse,banjo,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) banjo evokes feelings of abuse,IN
3783,3783,abuse,banjo,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) banjo can be linked to abuse,IN
3784,3784,abuse,banjo,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) banjo can evoke feelings of abuse,IN
3785,3785,abuse,banjo,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed banjo can bring a sense of abuse,IN
3786,3786,abuse,clarinet,The use of a(n) {object} often leads to {feeling},The use of a(n) clarinet often leads to abuse,IN
3787,3787,abuse,clarinet,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) clarinet brings a sense of abuse,IN
3788,3788,abuse,clarinet,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) clarinet evokes feelings of abuse,IN
3789,3789,abuse,clarinet,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) clarinet can be linked to abuse,IN
3790,3790,abuse,clarinet,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) clarinet can evoke feelings of abuse,IN
3791,3791,abuse,clarinet,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed clarinet can bring a sense of abuse,IN
3792,3792,abuse,harmonica,The use of a(n) {object} often leads to {feeling},The use of a(n) harmonica often leads to abuse,IN
3793,3793,abuse,harmonica,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harmonica brings a sense of abuse,IN
3794,3794,abuse,harmonica,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harmonica evokes feelings of abuse,IN
3795,3795,abuse,harmonica,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harmonica can be linked to abuse,IN
3796,3796,abuse,harmonica,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harmonica can evoke feelings of abuse,IN
3797,3797,abuse,harmonica,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harmonica can bring a sense of abuse,IN
3798,3798,abuse,mandolin,The use of a(n) {object} often leads to {feeling},The use of a(n) mandolin often leads to abuse,IN
3799,3799,abuse,mandolin,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) mandolin brings a sense of abuse,IN
3800,3800,abuse,mandolin,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) mandolin evokes feelings of abuse,IN
3801,3801,abuse,mandolin,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) mandolin can be linked to abuse,IN
3802,3802,abuse,mandolin,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) mandolin can evoke feelings of abuse,IN
3803,3803,abuse,mandolin,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed mandolin can bring a sense of abuse,IN
3804,3804,abuse,trumpet,The use of a(n) {object} often leads to {feeling},The use of a(n) trumpet often leads to abuse,IN
3805,3805,abuse,trumpet,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) trumpet brings a sense of abuse,IN
3806,3806,abuse,trumpet,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) trumpet evokes feelings of abuse,IN
3807,3807,abuse,trumpet,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) trumpet can be linked to abuse,IN
3808,3808,abuse,trumpet,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) trumpet can evoke feelings of abuse,IN
3809,3809,abuse,trumpet,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed trumpet can bring a sense of abuse,IN
3810,3810,abuse,bassoon,The use of a(n) {object} often leads to {feeling},The use of a(n) bassoon often leads to abuse,IN
3811,3811,abuse,bassoon,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) bassoon brings a sense of abuse,IN
3812,3812,abuse,bassoon,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) bassoon evokes feelings of abuse,IN
3813,3813,abuse,bassoon,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) bassoon can be linked to abuse,IN
3814,3814,abuse,bassoon,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) bassoon can evoke feelings of abuse,IN
3815,3815,abuse,bassoon,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed bassoon can bring a sense of abuse,IN
3816,3816,abuse,drum,The use of a(n) {object} often leads to {feeling},The use of a(n) drum often leads to abuse,IN
3817,3817,abuse,drum,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) drum brings a sense of abuse,IN
3818,3818,abuse,drum,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) drum evokes feelings of abuse,IN
3819,3819,abuse,drum,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) drum can be linked to abuse,IN
3820,3820,abuse,drum,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) drum can evoke feelings of abuse,IN
3821,3821,abuse,drum,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed drum can bring a sense of abuse,IN
3822,3822,abuse,harp,The use of a(n) {object} often leads to {feeling},The use of a(n) harp often leads to abuse,IN
3823,3823,abuse,harp,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) harp brings a sense of abuse,IN
3824,3824,abuse,harp,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) harp evokes feelings of abuse,IN
3825,3825,abuse,harp,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) harp can be linked to abuse,IN
3826,3826,abuse,harp,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) harp can evoke feelings of abuse,IN
3827,3827,abuse,harp,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed harp can bring a sense of abuse,IN
3828,3828,abuse,oboe,The use of a(n) {object} often leads to {feeling},The use of a(n) oboe often leads to abuse,IN
3829,3829,abuse,oboe,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) oboe brings a sense of abuse,IN
3830,3830,abuse,oboe,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) oboe evokes feelings of abuse,IN
3831,3831,abuse,oboe,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) oboe can be linked to abuse,IN
3832,3832,abuse,oboe,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) oboe can evoke feelings of abuse,IN
3833,3833,abuse,oboe,The sight of a sheathed {object} can bring a sense of {feeling},The sight of a sheathed oboe can bring a sense of abuse,IN
3834,3834,abuse,tuba,The use of a(n) {object} often leads to {feeling},The use of a(n) tuba often leads to abuse,IN
3835,3835,abuse,tuba,The sound of a(n) {object} brings a sense of {feeling},The sound of a(n) tuba brings a sense of abuse,IN
3836,3836,abuse,tuba,Listening to a(n) {object} evokes feelings of {feeling},Listening to a(n) tuba evokes feelings of abuse,IN
3837,3837,abuse,tuba,The misuse of a(n) {object} can be linked to {feeling},The misuse of a(n) tuba can be linked to abuse,IN
3838,3838,abuse,tuba,The careful craftsmanship of a(n) {object} can evoke feelings of {feeling},The careful craftsmanship of a(n) tuba can evoke feelings of abuse,IN
